id,title,location,category,price,poster,date_posted,source,vertical,poster_type,subject_category,instruction_lang,level,classification,confidence,is_remote,remote_confidence,reasoning,reason,description_preview,description_source,was_reanalyzed,url
N/A,Managing Director New England,Remote / Worldwide,N/A,N/A,N/A,N/A,remoteok,general,unknown,N/A,N/A,N/A,N/A,N/A,Yes,0.99,N/A,Cached from history: RECENT (seen 0h ago),"At IntraFi, we do more than innovateâwe empower. Our services help banks provide vital financial access to small businesses, companies, and consumers across the country. With a network of more than ...",listing_page,No,https://remoteOK.com/remote-jobs/remote-managing-director-new-england-intrafi-1131327
N/A,Tax AI Expert,India,N/A,N/A,N/A,N/A,remoteok,general,unknown,N/A,N/A,N/A,N/A,N/A,Yes,0.99,N/A,Cached from history: RECENT (seen 0h ago),"This role is for one of our clients Compensation: Rs. 6500 per hour hour (20 hours per week commitment) Job Type:  Part-time / Contract \n \n â¹4,000 - â¹6,500 an hour We are seeking a highly motiva...",listing_page,No,https://remoteOK.com/remote-jobs/remote-tax-ai-expert-weekday-1131326
N/A,Director of Revenue Operations,Canada,N/A,N/A,N/A,N/A,remoteok,general,unknown,N/A,N/A,N/A,N/A,N/A,Yes,0.99,N/A,Cached from history: RECENT (seen 0h ago),"Ready to make a real impact on global health and wellness care? Practice Better is an all-in-one platform helping health and wellness practitioners run their businesses, care for their clients, and sc...",listing_page,No,https://remoteOK.com/remote-jobs/remote-director-of-revenue-operations-practice-better-1131325
N/A,Regional Sales Executive,Remote / Worldwide,N/A,N/A,N/A,N/A,remoteok,general,unknown,N/A,N/A,N/A,N/A,N/A,Yes,0.99,N/A,Cached from history: RECENT (seen 0h ago),"About Pivotal Health Pivotal Health is the leading technology platform that helps healthcare providers get paid fairly in an increasingly complex reimbursement landscape. Today, many providers face pe...",listing_page,No,https://remoteOK.com/remote-jobs/remote-regional-sales-executive-pivotal-health-1131324
N/A,Territory Account Manager,Remote / Worldwide,N/A,N/A,N/A,N/A,remoteok,general,unknown,N/A,N/A,N/A,N/A,N/A,Yes,0.99,N/A,Cached from history: RECENT (seen 0h ago),"TENEX is an AI-native, automation-first, built-for-scale Managed Detection and Response (MDR) provider. We are a force multiplier for defenders, helping organizations enhance their cybersecurity postu...",listing_page,No,https://remoteOK.com/remote-jobs/remote-territory-account-manager-tenex-ai-1131323
N/A,HQ AI Enablement Lead,Remote / Worldwide,N/A,N/A,N/A,N/A,remoteok,general,unknown,N/A,N/A,N/A,N/A,N/A,Yes,0.99,N/A,Cached from history: RECENT (seen 0h ago),"About Everfield Everfield buys, builds, and grows European vertical market and specialist software companies, providing them with the tools they need to move to the next level. Our mission is to foste...",listing_page,No,https://remoteOK.com/remote-jobs/remote-hq-ai-enablement-lead-everfield-1131322
N/A,Medical Director for Health Plan,Remote,N/A,N/A,N/A,N/A,remoteok,general,unknown,N/A,N/A,N/A,N/A,N/A,Yes,0.99,N/A,Cached from history: RECENT (seen 0h ago),"Evry Health is hiring a tech-savvy Medical Director to lead medical policy and utilization management for a growing, technology-enabled health plan. In this role, you will work closely with teams acro...",listing_page,No,https://remoteOK.com/remote-jobs/remote-medical-director-for-health-plan-evry-health-1131321
N/A,Vice President of Marketing,Remote,N/A,N/A,N/A,N/A,remoteok,general,unknown,N/A,N/A,N/A,N/A,N/A,Yes,0.99,N/A,Cached from history: RECENT (seen 0h ago),One of Pine's Portfolio Companies is Hiring! Vice President of Marketing A Pine Services Group Portfolio Company | Remote | Full-Time About Pine Services Group Pine Services Group is a holding company...,listing_page,No,https://remoteOK.com/remote-jobs/remote-vice-president-of-marketing-pine-services-group-1131320
N/A,Technical Account Manager,Remote / Worldwide,N/A,N/A,N/A,N/A,remoteok,general,unknown,N/A,N/A,N/A,N/A,N/A,Yes,0.99,N/A,Cached from history: RECENT (seen 0h ago),Join our mission to provide governments with exceptional experiences so they can do the same for their communities! What do we do?ð¥ We empower governments to deliver exceptional citizen experiences...,listing_page,No,https://remoteOK.com/remote-jobs/remote-technical-account-manager-clariti-cloud-inc-1131319
N/A,Implementation Specialist,"Remote, U.S.",N/A,N/A,N/A,N/A,remoteok,general,unknown,N/A,N/A,N/A,N/A,N/A,Yes,0.99,N/A,Cached from history: RECENT (seen 0h ago),"At Submittable, we are transforming how organizations create social impact. Our platform empowers thousands of mission-driven organizations, from nonprofits to government entities, to make a differenc...",listing_page,No,https://remoteOK.com/remote-jobs/remote-implementation-specialist-submittable-1131318
